content,date,good_ID,good_name,commentTags,replyCount,score,userLevelId,userProvince,user_ID,user_name,score1,score2,score3,score4,score5
回购这是第五台同比其他品牌觉得长虹空调性价比最高以旧换新非常划算外观也简单好看是正规3500w大1.5匹其他有些把3200w也叫1.5匹一级能效非常节能省电制冷速度很快,2024/7/1 22:51,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,203,四川,21016633443,j***w,500,100,200,500,100000
这次购买了两台空调第二天就送过来了物流非常快安装师傅很专业空调很好看制冷效果很好以后夏天就凉快了长虹也是国家老品牌了质量过硬推荐购买,2024/6/18 16:31,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,0,浙江,20956464263,j***d,500,100,200,500,100000
送货时效送货很快安装也很及时冷暖效果空调制冷效果相当好静音效果开启声音很小基本听不到外形外观外观设计很时尚,2024/6/16 15:59,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,0,四川,20945264734,j***S,500,100,200,500,100000
京东送货速度很快空调质量很好制冷效果没有问题使用也很安静安装师傅水平专业服务态度很好商品服务整体服务非常好好评,2024/6/16 11:10,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,上海,20943637900,r***少,500,100,200,500,100000
长虹空调老品牌之前在别处有使用过印象一直很好很深刻本次换掉之前的老空调特意选择的长虹京东送货很快拆旧也很快安装新机也很快很及时总之本次换购很满意当然希望空调也能一直用的满意,2024/6/19 9:22,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,北京,20959977768,文***武,500,100,200,500,100000
对比了很多家空调都推荐买格力最终还是选择了长虹的没想到啊效果真的很好速冷声音很小几乎只有出风的一点声音很满意送了挡风板师傅上门安装的出乎意料的好赞,2024/6/18 20:16,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,203,四川,20957746590,痞***咪,500,100,200,500,100000
物流小哥态度很好安装师傅服务效率高高大上档次声音很轻值得购买第二次购买客服服务给个赞,2024/6/26 17:18,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,0,湖南,20996317750,j***7,500,100,200,500,100000
购物过程很满意网上优惠618不错安装服务及时给力希望商家外形外观外观小巧精致节能效果节能环保家里几个空调都是长虹的哈哈支持本地企业,2024/6/26 15:59,100091564307,【大1匹】新一级四阶舒适风,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,103,四川,20995975499,q***2,500,100,200,500,100000
刚刚新买的空调从下单到货安装全程无缝衔接今天刚刚把三个空调都装好了房间非常合适试了下制冷效果也非常快噪音小安装师傅的态度也很好,2024/6/19 12:20,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,四川,20961521629,j***7,500,100,200,500,100000
刚安装待用后再来评价,2023/12/8 11:08,100091564307,【大1匹】京小宅新一级省电,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,3,3,201,江苏,20223935127,J***r,500,100,200,500,100000
外形外观长虹产品还是可以大品牌冷暖效果不比其他产品的效果低静音效果还算静音可以接受产品特色618大促购买的价格很实惠节能效果一级节能非常好柔风效果一般送货时效准时送达安装时效准时安装服务质量售后服务质保6年,2024/6/19 13:59,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,2,5,201,四川,20962030114,聆***5,500,100,200,500,100000
外形外观外观圆润设计非常好看冷暖效果只试了制冷制冷效果很好开26度都很凉快静音效果晚上开了没什么生意送货时效送货很快第二天就到了安装时效货送到了师傅就联系我们安装了,2024/6/19 10:04,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,四川,20960201865,j***o,500,100,200,500,100000
空调第二天就送过来了物流非常快安装师傅很专业空调很好看制冷效果很好以后夏天就凉快了长虹也是国家老品牌了质量过硬推荐购买,2024/6/18 16:30,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,0,浙江,20956461970,j***d,500,100,200,500,100000
新能效一级节能又有长虹这个品牌背书质量有保障安装售后服务也有保障启动制冷效果很好也比较静音支持手机app控制,2024/6/18 16:49,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,福建,20956565878,t***d,500,100,200,500,100000
性价比高样子呆呆的很可爱三台机子同时开的话我家小栅栏把外挂机过热保护了心累售后非常好电话跟进师傅也在一直积极沟通表扬,2024/7/1 22:04,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,河北,21016497841,q***9,500,100,200,500,100000
好大的而且特别凉开28度就特别凉温度很快就降下来了而且拆旧的也不花钱比某夕价格还合适有需要还会回顾的,2024/6/16 16:06,100091564307,【大2匹】省空间超值底价！,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,0,天津,20945303636,j***q,500,100,200,500,100000
冷暖效果制冷很快打开以后迅速就有冷气静音效果睡眠模式很静音节能效果一级能效很不错柔风效果风速调节很舒适外形外观外观很漂亮大气工艺精美军工质量大牌子质量确实不错,2024/7/12 12:59,100091564307,【大1匹】新一级四阶舒适风,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,福建,21054799241,j***7,500,100,200,500,100000
物流小哥态度很好安装师傅服务很快客服态度很好第二次购买空调声音很轻值得购买下次有需要会再次购买,2024/6/26 17:23,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,0,湖南,20996334987,j***7,500,100,200,500,100000
安装的师傅非常好哈安装的很专业空调效果也是很不错哈制冷效果很好价格也合适下次买空调还会再来的静音效果也是很不错的哈,2024/7/2 14:57,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,四川,21018865476,j***p,500,100,200,500,100000
空调样式好看有防风板避免直吹风制冷效果好很快制冷夏天正合适长虹空调值得购买安装师傅技术很好安装快及时还给专业建议给安装师傅10分评价,2024/6/18 21:10,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,203,海外,20958094940,j***0,500,100,200,500,100000
外形外观外形外观漂亮好看十分满意冷暖效果冷暖效果特别舒服十分满意静音效果静音效果特别安静舒适度十分满意产品特色产品特色特色暂时没有发现节能效果节能效果十分好柔风效果很好,2024/7/3 21:28,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,广东,21024130653,明***1,500,100,200,500,100000
安装服务好换新上门速度很快空调外观简洁大气运行时候声音很小风力也比较温和体感还是比较舒服能耗也不高用电不多节能高效,2024/6/21 16:44,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,四川,20973041063,j***g,500,100,200,500,100000
这次大促买了很多台把几层楼的空调全部更换了看好长虹的品牌而且是一级能效希望品牌能够有质量的保证安装也很快费用也收得很合理,2024/6/19 11:39,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,福建,20960758003,t***d,500,100,200,500,100000
外观非常好看很有质感试了一下制冷效果也非常的好安装送货都非常的棒买的值也是一次愉快的购物,2024/6/18 15:33,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,四川,20956148477,j***f,500,100,200,500,100000
非常满意京东自营的服务非常好安装也不错长虹大品牌之前没买过关注了一段时间吧十年质保又是京东自营值得信赖有需要还会购买,2024/6/16 10:08,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,辽宁,20943315411,j***1,500,100,200,500,100000
挂式空调外形外观简洁明快风格时尚冷暖效果开机后制冷效果很好房间很快就凉快下来了静音效果睡眠模式开启后室内声音比较小节能效果该机采用一级能耗省电节能送货时效送货快安装时效准时服务质量很好,2024/7/5 22:30,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,四川,21031631507,0***y,500,100,200,500,100000
京东自营的长虹空调很好下单收货到安装简直无缝衔接今天刚刚安好三台空调都试了制冷效果非常不错安装师傅服务态度也很好非常快小半天就装好了现在用起来很舒适,2024/6/19 12:13,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,四川,20961481294,j***7,500,100,200,500,100000
京东的快递就是快送新收旧一站头好包装运输安全又方便#外形外观外形是中规中矩高大上运行速度安卓系统搜索十分方便屏幕音效那音量够用尺寸大小大小在我摆放的地方正合位置,2024/6/22 18:48,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,203,四川,20978504614,小***哄,500,100,200,500,100000
这款空调真是夏日里的一股清风安装简便外观设计时尚与室内装潢风格完美融合启动后制冷效果立竿见影短时间内就能感受到丝丝凉意即便在高温天气中也能迅速达到预设温度保持室内凉爽智能温控技术使得空调运行稳定温度波动小给人带来持续舒适感此外它的噪音控制得非常出色几乎感受不到运行的声音保证了休息时的宁静遥控器设计人性化操作简便即便是老人和小孩也能轻松掌控总的来说这款空调性能卓越是家庭降温的不二之选,2024/6/16 20:33,100091564307,【大1匹】新一级热销爆款,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,浙江,20946627003,s***g,500,100,200,500,100000
空调外观漂亮物流快安装师傅很好,2024/2/26 17:46,100091564307,【大1匹】京小宅新一级省电,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,2,3,0,安徽,20513427879,j***4,500,100,200,500,100000
安装速度快质量好价格实惠抽真空时间也够冷暖效果可能是刚安装制冷不是很冷希望后面制冷效果好静音效果很静音基本不吵外形外观因为柜子原因特别选的这款高度只有27cm长度也不到80cm方便安装,2024/6/22 19:35,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,重庆,20978737387,l***3,500,100,200,500,100000
外形外观外观大气简洁流畅冷暖效果买来制冷的我是8平的小屋用起来凉的很快静音效果噪音非常小这点是我最满意的开了静音模式基本上听不到声音产品特色一级能耗的空调应该会很省电,2024/6/24 10:40,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,山西,20985596682,z***6,500,100,200,500,100000
外形外观大气冷暖效果温度很快就降温了静音效果好节能效果挺好柔风效果哇色送货时效送货时效很快晚上下单第二天上午就到了安装时效很速度上午到下午就安装了服务质量很好,2024/6/27 21:01,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,重庆,21001186035,宅***妹,500,100,200,500,100000
空间超大黑色显得大气购买这一款就是看中他的双风机除味两个风机真的很重要抽屉拉起来很丝滑空调运行起来很静音根本听不到运行的声音开了几分钟冷气就已经下来了很不错,2024/6/22 18:49,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,203,四川,20978510383,小***哄,500,100,200,500,100000
外形外观非常精致第一感觉就很好冷暖效果开机几秒钟房间就凉快了静音效果没什么声音很安静产品特色制冷快效果好节能效果省电值得拥有,2024/6/14 13:38,100091564307,【大1匹】新一级四阶舒适风,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,0,北京,20935253095,h***9,500,100,200,500,100000
物流速度很快次日达快递员送货上门安装送达第二天就上门安装安装师傅很专业没有乱收费制冷效果很好,2024/7/1 23:00,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,203,四川,21016662740,w***2,500,100,200,500,100000
这个空调制冷效果很快样式很简单质感好一级能耗省电适合家用运转声音不算大送货及时安装及时经济实惠,2024/6/21 14:29,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,四川,20972418540,f***s,500,100,200,500,100000
包装完整无破损空调运行声音小制冷快整体体验很好第一次使用长虹的空调体验还是很满意的头一天下单第二天上午9点送到货下午3点就安装上了京东速度非常给力,2024/6/18 6:32,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,陕西,20953137386,1***a,500,100,200,500,100000
外形外观简约大气好看百搭冷暖效果省电好用速度快静音效果很好产品特色没有发现节能效果还可以性价比不错哦,2024/7/4 11:42,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,天津,21026080557,1***吗,500,100,200,500,100000
外形外观外观设计好看挺满意的冷暖效果冷暖效果都挺好的静音效果机子声音挺小的基本上是静音状态节能效果节能效果良好物美价廉符合这个价格送货速度挺快的,2024/6/22 20:26,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,北京,20978963810,泠***潋,500,100,200,500,100000
发货及时以旧换新服务很流畅空调制冷好安静满足需要夏天的刚需电器冷暖效果非常好速度快外形外观简洁大方静音效果安静产品特色挺好的节能效果一级节能省电,2024/6/19 19:15,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,广东,20963738526,S***t,500,100,200,500,100000
外形外观非常的简洁大方冷暖效果装好就试了效果可以静音效果白天不怎么听得到产品特色一直都用电视机也是长虹的节能效果一级的能效非常省电柔风效果风力非常可以可以用大小调节,2024/6/30 22:58,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,浙江,21013029560,j***u,500,100,200,500,100000
长虹空调第一次买感觉还不错物廉价美用了一段时间过来反馈一下还是挺凉快的耗电量也不高安装也是到位京东第一天买的第二天就到家了速度很快,2024/7/2 10:34,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,山东,21017969827,j***h,500,100,200,500,100000
外形外观外观很好看简洁大方冷暖效果制冷效果好得很一会儿就冷了静音效果声音小性价比很高节能效果1级能效很节约电送货时效送货很快安装时效安装师傅很快就上门了很专业,2024/6/23 12:53,100091564307,【大1匹】新一级四阶舒适风,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,四川,20981674501,g***a,500,100,200,500,100000
新房子装修一下子买了4台卧室空调昨天收到的今天已经安装好了试了试制冷非常的迅速老牌子的空调物美价廉还会再回购的,2024/7/2 17:20,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,河北,21019390273,6***3,500,100,200,500,100000
外形外观看起来很高级冷暖效果制冷效果嘎嘎好制热暂时没用静音效果基本没有声音产品特色很满意安装人员也很负责,2024/7/9 13:49,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,新疆,21043669750,j***b,500,100,200,500,100000
安装师傅很好服务热情外形外观高端大气大气大气上档次冷暖效果制冷效果好好好静音效果静音省电我的最爱产品特色便宜方便快捷省电我的最爱真好真好真好真好,2024/6/22 13:22,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,天津,20976982137,无***蛋,500,100,200,500,100000
外形外观简单大方大牌品质冷暖效果制冷效果不错制热暂时还没试过静音效果几乎听不到电机的声音产品特色性价比超高节能效果这个价位能买到一级能效柔风效果效果满满的送货时效京东物流一直很高效,2024/7/4 17:24,100091564307,【大1匹】新一级四阶舒适风,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,山西,21027171640,唐***今,500,100,200,500,100000
性价比高功能齐全可以联网远程操控非常方便到家之前提前开机进屋凉爽噪音基本感觉不到耗电还没统计过应该不会太多整体推荐,2024/6/22 21:46,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,四川,20979316152,S***7,500,100,200,500,100000
还可以吧毕竟价格也不高可以用挺好的,2024/6/2 21:33,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,3,201,北京,20882384427,说***句,500,100,200,500,100000
外形外观外观周正美观很大气静音效果基本没啥声音如果没有开风速强劲冷暖效果制冷很快1.5足足的安装师傅也很专业已经使用了一周了空调很满意,2024/6/19 22:27,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,河南,20964827180,j***u,500,100,200,500,100000
外形外观小巧美观冷暖效果制冷效果杠杠的静音效果几乎没有声音产品特色长虹老品牌家里一直用的这个牌子节能效果新一级巨省电送货时效快安装时效快服务质量好很愉快的一次购物空调很满意一直会支持这个品牌,2024/6/16 20:51,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,0,山东,20946717647,吃***琪,500,100,200,500,100000
质量不错服务也到位用长虹用了很多年了空调升级版不像以前那样笨重外观颜色白色百搭冷气很快噪音很小,2024/6/27 15:14,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,0,四川,20999905973,鲸***的,500,100,200,500,100000
到货很快物流非常给力安装也很快安好了看起来也很美观制冷效果也很好价格也非常优惠,2024/6/18 21:47,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,四川,20958382316,j***f,500,100,200,500,100000
送货很准时按着预订时间来安装的师傅也很专业制冷效果特别快晚上调成睡眠模式声音很小外观设计也很用心白色百搭,2024/6/19 22:31,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,内蒙古,20964844802,W***卿,500,100,200,500,100000
白色的很好看和家里的装修风格很搭配很满意新一级能效省电了据说还能app控制不怕找不到遥控器或者没电池了比较环保,2024/6/24 19:40,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,上海,20987905642,张***5,500,100,200,500,100000
长虹空调品质有保障京东配送快第二天就收到了安装服务周到外观漂亮操作也很简单使用起来很方便买了很多长虹空调用起来比较省心,2024/6/18 14:46,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,江苏,20955889403,长***天,500,100,200,500,100000
